Uqno,Psuno_seg,Taz_exp,Stratum,Metro_code,District_code,Pr_code,Geo_type
1611000610000014201,16110006100,900200,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1611000610000017801,16110006100,900200,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1611000610000021401,16110006100,900200,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1611000610000032201,16110006100,900200,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1611000810000000701,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611000810000001401,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611000810000002101,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611000810000002801,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611000810000003501,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611000810000004201,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611000810000004901,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611000810000005601,16110008100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000004201,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000014401,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000024601,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000034801,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000045001,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000055201,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000075601,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611001310000085801,16110013100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000005301,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000012001,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000018701,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000025401,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000032101,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000038801,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000045501,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000052201,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000058901,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003110000065601,16110031100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003710000001701,16110037100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003710000002601,16110037100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003710000003501,16110037100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003710000005301,16110037100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003710000006201,16110037100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003710000007101,16110037100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611003710000008001,16110037100,900200,1102,01,DC01,Western Cape,Urban: Urban area
1611005110000004301,16110051100,900200,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
1611005110000010301,16110051100,900200,1102,01,DC01,Western Cape,Rural: Tribal or Traditional area an Farms
